[624.55756, 535.22791;
 680.2998, 535.35089;
 736.15942, 535.4519;
 792.08154, 535.58282;
 848.1062, 535.71613;
 904.18561, 535.78723;
 960.29962, 535.94714;
 1016.4976, 536.00189;
 1072.6636, 536.13068;
 1128.8207, 536.28894;
 1184.9532, 536.3576;
 624.36035, 591.30066;
 680.14093, 591.46356;
 735.92749, 591.58148;
 791.86047, 591.74945;
 847.87408, 591.8891;
 903.94885, 592.03497;
 960.08307, 592.14673;
 1016.1901, 592.27112;
 1072.4647, 592.40283;
 1128.6382, 592.5163;
 1184.8409, 592.61127;
 624.19019, 647.33478;
 679.92346, 647.50214;
 735.77148, 647.68542;
 791.68579, 647.82715;
 847.68256, 648.03723;
 903.72144, 648.21289;
 959.83838, 648.31537;
 1016.021, 648.4129;
 1072.2179, 648.56488;
 1128.4167, 648.66931;
 1184.6641, 648.78418;
 624.05371, 703.35443;
 679.76465, 703.55005;
 735.59137, 703.75824;
 791.52301, 703.95178;
 847.51056, 704.15955;
 903.56091, 704.30444;
 959.65717, 704.43652;
 1015.8315, 704.56775;
 1072.0228, 704.68231;
 1128.2611, 704.8252;
 1184.4685, 704.91827;
 623.96692, 759.33313;
 679.67987, 759.54565;
 735.53107, 759.79077;
 791.40021, 760.01202;
 847.40265, 760.18701;
 903.45801, 760.39935;
 959.50616, 760.55652;
 1015.7081, 760.67493;
 1071.8483, 760.83051;
 1128.0568, 760.94202;
 1184.2715, 761.03986;
 623.8714, 815.26709;
 679.56714, 815.54132;
 735.39832, 815.78638;
 791.3172, 816.03082;
 847.27301, 816.24139;
 903.30371, 816.44714;
 959.35919, 816.60101;
 1015.5044, 816.75342;
 1071.653, 816.89252;
 1127.8843, 817.01904;
 1184.069, 817.1239;
 623.85205, 871.13757;
 679.54431, 871.43976;
 735.37152, 871.72021;
 791.26471, 871.97632;
 847.20056, 872.19952;
 903.22137, 872.42938;
 959.29254, 872.64355;
 1015.3909, 872.74567;
 1071.5133, 872.88452;
 1127.7079, 873.01904;
 1183.8395, 873.1239;
 623.85834, 926.97675;
 679.55804, 927.26556;
 735.37036, 927.57404;
 791.21356, 927.84229;
 847.12646, 928.09863;
 903.14258, 928.34119;
 959.14337, 928.53296;
 1015.2374, 928.7027;
 1071.332, 928.80176;
 1127.5049, 928.92548;
 1183.6638, 929.04761;
 623.90259, 982.72974;
 679.59552, 983.04272;
 735.3891, 983.36572;
 791.19995, 983.62366;
 847.10303, 983.92236;
 903.0694, 984.15619;
 959.04651, 984.33588;
 1015.1227, 984.48438;
 1071.1899, 984.63983;
 1127.3127, 984.77014;
 1183.4316, 984.90619]
